product_id,name,category,price,brand,pattern,available_sizes,tags,image_url
470,Terra Knit Cable Sweater,maxi dress,74.0,ALTAR'D STATE,knit,"XXS, XS, S, M, L, XL, XXL",new,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dwc7380f4b/image/001753_CC2171_MOCHA_00.JPG?sw=300&sh=450&q=98
575,Lucy Lace Trim Skirt,skirt,64.0,ALTAR'D STATE,lace,"XXS, XS, S, M, L, XL, XXL",,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dwb818e759/image/004311_ASWB-251-375_BROWN-MULTI_09.JPG?sw=300&sh=450&q=98
430,Reese Leopard Vest,other,64.0,ALTAR'D STATE,leopard,"S, M, L",new,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw6d699db1/image/001950_BT3534_LEOPARD_00.JPG?sw=300&sh=450&q=98
1187,Step Aside Layer,other,54.0,AS REVIVAL,layered,"S, M, L",,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw0ff0d40b/image/000787_DZ25C921_RED_00.JPG?sw=300&sh=450&q=98
1292,Backwoods Camo Lounge Short,lounge,48.0,AS REVIVAL,camouflage,"XS, S, L, XL",,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw1c0cead8/image/004293_SB2005C_CAMO_00.JPG?sw=300&sh=450&q=98
1282,Kick Back Lace Skort,other,58.0,AS REVIVAL,lace,"XXS, XS, S, M, L, XL, XXL",,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dwbd96a879/image/004230_SK2389B-1_LT-HEATHER-GREY_00.JPG?sw=300&sh=450&q=98
3029,Shilo Ribbed Cardigan,oversized sweater,28.0,EDIKTED,ribbed,"XS, S, M, L, XL",,https://edikted.com/cdn/shop/files/Edikted_Ai_test_Lookbook164926_a991b825-ce0e-442e-804a-5e440940dc41.jpg?v=1739228696&width=600
2551,Built In Bra Tube Top,tube top,12.6,EDIKTED,other,"XS, S, M, L, XL",,https://edikted.com/cdn/shop/files/Edikted_Lookbook_06_13_202426731.jpg?v=1725183750&width=600
2786,Sasha Bow Detail Sweatpants,oversized sweater,31.2,EDIKTED,bow detail,"XS, S, M, L, XL",,https://edikted.com/cdn/shop/files/Edikted_Lookbook_09_03_202459695_fb5a6ccb-83fa-46d6-ac5b-6ca4c263893b.jpg?v=1725644306&width=600
3262,Lace Detail Denim Blazer,blazer,95.95,Olivia TPS x NA-KD,denim,,,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/lace_detail_denim_blazer_1859-000003-0003_2_campaign.jpg?ref=2E6B190EF9"
3285,Knitted Pattern Sweater,sweater,85.95,Olivia TPS x NA-KD,knit,,,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/knitted_pattern_sweater__1859-000009-0017_4_campaign.jpg?ref=50EF74A241"
